TOC(mg/L),FI,BIX,f -min (e),f 0min(e),light intensity(lux),Time(min),pH,Egap(ev),VIP(ev),demove
4.989,1.34301,0.52432,0.0004,0.0041,56857.5,5,7.5,5.69563,7.489,0.0353
4.989,1.34301,0.52432,0.0004,0.0041,56857.5,10,7.5,5.69563,7.489,0.0817
4.989,1.34301,0.52432,0.0004,0.0041,56857.5,20,7.5,5.69563,7.489,0.1727
4.989,1.34301,0.52432,0.0004,0.0041,56857.5,30,7.5,5.69563,7.489,0.2592
4.989,1.34301,0.52432,0.0004,0.0041,56857.5,45,7.5,5.69563,7.489,0.3672
4.989,1.34301,0.52432,0.0004,0.0041,56857.5,60,7.5,5.69563,7.489,0.4526
9.978,1.34301,0.52432,0.0004,0.0041,354822.2,5,7.56,5.69563,7.489,0.1026
9.978,1.34301,0.52432,0.0004,0.0041,354822.2,10,7.56,5.69563,7.489,0.2347
9.978,1.34301,0.52432,0.0004,0.0041,354822.2,20,7.56,5.69563,7.489,0.3381
9.978,1.34301,0.52432,0.0004,0.0041,354822.2,30,7.56,5.69563,7.489,0.4945
9.978,1.34301,0.52432,0.0004,0.0041,354822.2,45,7.56,5.69563,7.489,0.6245
9.978,1.34301,0.52432,0.0004,0.0041,354822.2,60,7.56,5.69563,7.489,0.7362
16.63,1.34301,0.52432,0.0004,0.0041,56857.5,5,7.57,5.69563,7.489,0.0845
16.63,1.34301,0.52432,0.0004,0.0041,56857.5,10,7.57,5.69563,7.489,0.2235
16.63,1.34301,0.52432,0.0004,0.0041,56857.5,20,7.57,5.69563,7.489,0.3834
16.63,1.34301,0.52432,0.0004,0.0041,56857.5,30,7.57,5.69563,7.489,0.5738
16.63,1.34301,0.52432,0.0004,0.0041,56857.5,45,7.57,5.69563,7.489,0.7291
16.63,1.34301,0.52432,0.0004,0.0041,56857.5,60,7.57,5.69563,7.489,0.8286
16.63,1.34301,0.52432,-0.001,-0.0008,44528.75,5,6.82,10.641568,7.0142,0.0441
16.63,1.34301,0.52432,-0.001,-0.0008,44528.75,10,6.82,10.641568,7.0142,0.0448
16.63,1.34301,0.52432,-0.001,-0.0008,44528.75,20,6.82,10.641568,7.0142,0.0585
16.63,1.34301,0.52432,-0.001,-0.0008,44528.75,30,6.82,10.641568,7.0142,0.0619
16.63,1.34301,0.52432,-0.001,-0.0008,44528.75,45,6.82,10.641568,7.0142,0.0658
16.63,1.34301,0.52432,-0.001,-0.0008,44528.75,60,6.82,10.641568,7.0142,0.0678
16.63,1.34301,0.52432,0.001,0.0011,44528.75,5,7.47,5.06482,7.485,0.0331
16.63,1.34301,0.52432,0.001,0.0011,44528.75,10,7.47,5.06482,7.485,0.0406
16.63,1.34301,0.52432,0.001,0.0011,44528.75,20,7.47,5.06482,7.485,0.0655
16.63,1.34301,0.52432,0.001,0.0011,44528.75,30,7.47,5.06482,7.485,0.0926
16.63,1.34301,0.52432,0.001,0.0011,44528.75,45,7.47,5.06482,7.485,0.0999
16.63,1.34301,0.52432,0.001,0.0011,44528.75,60,7.47,5.06482,7.485,0.1048
4.989,1.34301,0.52432,-0.0008,0.0033,56857.5,5,7.69,9.062218,7.0095,0.0118
4.989,1.34301,0.52432,-0.0008,0.0033,56857.5,10,7.69,9.062218,7.0095,0.0208
4.989,1.34301,0.52432,-0.0008,0.0033,56857.5,20,7.69,9.062218,7.0095,0.0261
4.989,1.34301,0.52432,-0.0008,0.0033,56857.5,30,7.69,9.062218,7.0095,0.0265
4.989,1.34301,0.52432,-0.0008,0.0033,56857.5,45,7.69,9.062218,7.0095,0.0346
4.989,1.34301,0.52432,-0.0008,0.0033,56857.5,60,7.69,9.062218,7.0095,0.0575
9.978,1.34301,0.52432,-0.0008,0.0033,354822.2,5,7.82,9.062218,7.0095,0.0088
9.978,1.34301,0.52432,-0.0008,0.0033,354822.2,10,7.82,9.062218,7.0095,0.0266
9.978,1.34301,0.52432,-0.0008,0.0033,354822.2,20,7.82,9.062218,7.0095,0.041
9.978,1.34301,0.52432,-0.0008,0.0033,354822.2,30,7.82,9.062218,7.0095,0.0773
9.978,1.34301,0.52432,-0.0008,0.0033,354822.2,45,7.82,9.062218,7.0095,0.0917
9.978,1.34301,0.52432,-0.0008,0.0033,354822.2,60,7.82,9.062218,7.0095,0.1112
16.63,1.34301,0.52432,-0.0008,0.0033,56857.5,5,7.89,9.062218,7.0095,0.0156
16.63,1.34301,0.52432,-0.0008,0.0033,56857.5,10,7.89,9.062218,7.0095,0.0212
16.63,1.34301,0.52432,-0.0008,0.0033,56857.5,20,7.89,9.062218,7.0095,0.0522
16.63,1.34301,0.52432,-0.0008,0.0033,56857.5,30,7.89,9.062218,7.0095,0.0604
16.63,1.34301,0.52432,-0.0008,0.0033,56857.5,45,7.89,9.062218,7.0095,0.0941
16.63,1.34301,0.52432,-0.0008,0.0033,56857.5,60,7.89,9.062218,7.0095,0.1075
4.989,1.34301,0.52432,0.0033,0.0043,354822.2,5,7.44,7.989244,7.2589,0.019
